Date,ROT,Winning Team,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Final,ML
Charlotte,509,a,25,15,26,98,100
Portland,510,h,34,30,28,06,102
San Antonio,511,a,35,29,21,15,113
Golden State,512,h,21,30,24,27,100
Detroit,701,a,34,25,26,18,103
Washington,702,h,24,33,25,25,107
Indiana,707,a,10,24,17,22,81
Miami,708,h,07,26,16,16,75
Oklahoma City,705,a,18,81,15,27,109
Boston,706,h,17,75,24,27,94
Utah,703,a,34,33,10,32,97
Atlanta,704,h,21,22,94,32,100
Orlando,709,a,22,34,99,97,97
New York,710,h,25,25,18,00,95
L.A. Lakers,711,a,31,25,18,23,102
New Orleans,712,h,27,23,26,19,109
Portland,713,a,97,25,23,24,130
Denver,714,h,95,23,28,34,113
Brooklyn,715,a,30,10,39,45,104
Phoenix,716,h,24,09,28,22,112
Houston,717,a,27,19,13,29,113
Minnesota,718,h,28,35,13,17,101
Sacramento,503,a,38,24,29,19,110
Memphis,504,h,16,30,30,35,111
Chicago,501,a,11,25,20,35,100
Toronto,502,h,11,24,28,14,93
Philadelphia,505,a,20,10,10,19,70
Dallas,506,h,27,93,38,35,123
Brooklyn,507,a,24,17,70,36,99
Golden State,508,h,22,28,23,32,107
Denver,703,a,30,34,28,16,108
Indiana,704,h,27,19,21,20,87
Milwaukee,701,a,10,30,19,19,85
Orlando,702,h,87,25,27,28,101
Utah,707,a,17,85,31,17,102
New York,708,h,21,01,23,24,100
Miami,705,a,27,27,10,23,103
Atlanta,706,h,25,28,00,35,114
Cleveland,709,a,29,27,24,10,122
Boston,710,h,27,24,28,14,121
Detroit,715,a,25,34,25,38,96
Oklahoma City,716,h,31,28,42,20,89
Philadelphia,713,a,12,21,21,25,87
Houston,714,h,21,30,18,18,88
Minnesota,711,a,15,14,96,28,91
New Orleans,712,h,16,47,89,19,139
Charlotte,717,a,19,21,19,87,103
Phoenix,718,h,28,16,25,88,95
San Antonio,719,a,19,25,28,19,93
L.A. Lakers,720,h,43,37,38,21,80
Orlando,501,a,17,21,24,31,93
Washington,502,h,24,24,21,29,98
Utah,503,a,93,25,24,23,93
Toronto,504,h,98,23,23,30,111
Atlanta,505,a,21,93,25,18,94
Cleveland,506,h,35,11,41,30,127
Indiana,507,a,26,25,94,23,99
Chicago,508,h,30,26,27,20,90
Detroit,509,a,23,23,30,99,88
Memphis,510,h,22,23,25,90,95
Minnesota,511,a,16,34,14,24,117
Dallas,512,h,25,26,18,26,131
Brooklyn,515,a,88,22,22,38,87
Portland,516,h,95,28,35,38,97
San Antonio,513,a,35,11,15,24,91
Sacramento,514,h,30,31,24,26,94
Phoenix,519,a,27,21,87,24,107
L.A. Clippers,520,h,30,17,97,23,120
Charlotte,517,a,14,28,25,91,87
Golden State,518,h,22,25,24,94,112
Denver,701,a,31,88,35,19,93
New York,702,h,31,31,24,23,109
Milwaukee,703,a,93,19,19,26,91
Miami,704,h,09,23,23,13,84
Houston,705,a,27,91,24,18,69
Oklahoma City,706,h,25,84,19,14,65
Golden State,707,a,99,18,69,34,136
L.A. Lakers,708,h,18,14,65,23,115
Dallas,503,a,32,35,21,19,107
Charlotte,504,h,24,19,18,19,80
Denver,501,a,10,24,29,28,106
Cleveland,502,h,80,26,26,23,97
Phoenix,509,a,25,10,33,27,118
Boston,510,h,22,97,31,23,114
Miami,507,a,29,29,11,19,95
Brooklyn,508,h,34,26,14,21,83
Orlando,505,a,19,32,25,95,107
Detroit,506,h,22,21,19,83,93
Houston,511,a,28,21,29,29,93
Memphis,512,h,28,24,24,17,119
Philadelphia,513,a,10,18,24,24,75
San Antonio,514,h,93,34,31,32,100
New Orleans,515,a,27,93,13,21,93
Portland,516,h,22,19,30,16,102
Chicago,517,a,23,18,75,21,105
L.A. Clippers,518,h,27,27,00,22,89
L.A. Lakers,701,a,31,36,24,23,114
Atlanta,702,h,20,32,31,26,109
New York,703,a,11,30,19,31,113
Milwaukee,704,h,09,30,36,29,117
Oklahoma City,705,a,33,11,23,19,81
Utah,706,h,22,17,14,26,98
New Orleans,707,a,17,22,81,20,106
Sacramento,708,h,32,26,98,27,100
L.A. Clippers,505,a,26,30,28,30,114
Orlando,506,h,23,25,20,22,90
San Antonio,503,a,11,23,21,28,92
Cleveland,504,h,90,20,27,22,90
Charlotte,509,a,20,92,28,21,86
Indiana,510,h,21,90,20,23,88
Dallas,501,a,17,20,86,23,105
Washington,502,h,22,23,88,29,102
Boston,507,a,31,22,29,10,101
Philadelphia,508,h,24,20,29,02,90
Milwaukee,513,a,22,24,27,28,122
Brooklyn,514,h,27,19,22,22,118
Phoenix,511,a,10,22,19,28,88
Detroit,512,h,90,24,25,23,86
Memphis,515,a,26,10,77,10,92
Toronto,516,h,23,10,77,06,96
New York,517,a,12,21,23,21,99
Minnesota,518,h,18,19,24,21,115
Oklahoma City,519,a,23,88,20,28,100
Denver,520,h,22,86,22,20,107
L.A. Lakers,521,a,27,17,92,25,98
Houston,522,h,27,27,96,27,92
L.A. Clippers,701,a,39,19,30,22,110
Miami,702,h,15,25,26,27,93
Chicago,703,a,11,29,18,21,88
Sacramento,704,h,93,22,30,28,103
Phoenix,501,a,26,41,25,30,122
Philadelphia,502,h,27,17,23,29,96
Orlando,503,a,12,26,14,24,105
Charlotte,504,h,96,27,24,28,100
Detroit,505,a,41,10,25,15,89
Atlanta,506,h,21,00,29,21,99
Milwaukee,507,a,24,25,89,27,82
Toronto,508,h,24,25,99,37,124
Brooklyn,515,a,18,12,25,82,94
Oklahoma City,516,h,34,30,23,24,92
Boston,511,a,21,28,22,23,100
Memphis,512,h,27,26,21,18,117
San Antonio,513,a,94,16,25,29,121
Minnesota,514,h,92,25,30,27,92
Cleveland,509,a,30,10,29,30,78
Washington,510,h,35,17,26,22,91
L.A. Lakers,517,a,32,30,12,21,106
Dallas,518,h,14,30,92,26,140
New Orleans,519,a,21,23,13,78,97
Denver,520,h,29,25,11,91,117
Utah,521,a,27,32,24,23,88
Golden State,522,h,38,30,42,30,101
Chicago,523,a,10,26,23,24,87
Portland,524,h,40,31,28,27,105
Miami,701,a,22,27,19,31,99
Orlando,702,h,18,28,21,25,92
Phoenix,703,a,99,30,25,25,106
Indiana,704,h,92,27,21,16,83
Philadelphia,707,a,26,10,13,26,83
New York,708,h,19,83,25,21,91
Toronto,705,a,15,29,83,21,110
Cleveland,706,h,25,20,91,34,93
Dallas,711,a,35,29,25,11,92
Houston,712,h,20,17,22,93,95
Sacramento,709,a,29,22,17,24,113
Minnesota,710,h,29,31,17,18,101
Washington,715,a,92,21,27,36,111
Milwaukee,716,h,95,24,28,25,100
Brooklyn,713,a,29,11,21,26,87
San Antonio,714,h,24,01,28,24,99
New Orleans,717,a,27,37,11,18,106
Utah,718,h,18,30,00,25,94
Charlotte,503,a,22,22,28,21,93
Miami,504,h,23,30,14,27,94
L.A. Clippers,505,a,93,21,19,32,91
Memphis,506,h,94,26,27,35,107
Portland,501,a,19,91,21,23,94
Boston,502,h,19,07,23,26,88
Golden State,507,a,28,22,94,28,91
Oklahoma City,508,h,23,16,88,20,86
Denver,509,a,24,18,21,91,101
L.A. Lakers,510,h,27,19,20,86,94
L.A. Clippers,705,a,31,25,22,35,113
Charlotte,706,h,23,30,17,22,92
Portland,703,a,11,24,26,39,114
Philadelphia,704,h,92,20,32,28,104
Orlando,701,a,25,11,16,22,74
